Island,Country or Territory,Region,Subregion,Class,Site,Sample Material,Sample Type,Provenience,Lab Number,Conventional Radiocarbon Age (BP),Error,calibration curve to apply,calibrated range,δ13C (‰),Reference,Reason Rejected
Cuba,Cuba,Greater Antilles,,2,Abra del Cacoyuguin 1,charcoal,charcoal/charred material,"Excavation 1, enlargement 1, level 0.30-0.40 m",Beta-133948,1640,130,T,1860-1300,,Ulloa Hung and Valcárcel Rojas 2002:232,
Cuba,Cuba,Greater Antilles,,2,Abra Rio Cacoyuguin II,charcoal,charcoal/charred material,"Excavation 2, grid square 1, level 0.50-0.60 m",Beta-133951,3720,70,T,4290-3870,—,Ulloa Hung and Valcárcel Rojas 2002:232,
Cuba,Cuba,Greater Antilles,,2,Abra Rio Cacoyuguin IV,charcoal,charcoal/charred material,"Cut 1, level 0.30-0.40 m",Beta-140079,4180,80,T,4870-4440,—,Ulloa Hung and Valcárcel Rojas 2002:232,
Cuba,Cuba,Greater Antilles,,2,Aguas Gordas,charcoal,charcoal/charred material,"Midden 1, sample depth 1.75 m",Mo-399,1000,105,T,1180-700,—,Vinogradov 1968:462; Pazdur et al. 1982:174; Pino 1995:6;  Valcárcel Rojas 2002:140,
Cuba,Cuba,Greater Antilles,,2,"Arroyo del Palo, Mayari",charcoal,charcoal/charred material,"Cave no. 1, sample depth .25m",Y-1556,970,80,T,1060-720,—,Pino 1995:3,
Cuba,Cuba,Greater Antilles,,2,Caimanes III,charcoal,charcoal/charred material,"Test pit 4, sample depth .38 m",UM-1953,1745,175,T,2060-1300,—,Navarrete 1990:41; Pino 1995:3,
Cuba,Cuba,Greater Antilles,,2,Canimar 1,charcoal,charcoal/charred material,Sample depth 0.7 m to 0.8m. Ca 3m asl. Unsecure stratigraphy,GD-203,1010,110,T,1180-700,—,Pazdur et al. 1982:175,
Cuba,Cuba,Greater Antilles,,2,Canímar Abajo,charcoal,charcoal/charred material,1.6-1.7 m below surface,UBAR-170,4200,79,T,4960-4440,—,Roksandic et al. 2015,
Cuba,Cuba,Greater Antilles,,2,Catunda,charcoal,charcoal/charred material,"Trench 2, level 0.40 m",Beta-93862,1890,60,T,1990-1690,—,Ulloa Hung and Valcárcel Rojas 2002:233,
Cuba,Cuba,Greater Antilles,,2,Cayo Caiman Mata del Coco,Strombus gigas,marine shell,Sample Number = 22 (Midden 1),OxA-15267,4408,37,M,4720-4420,+2.4,Cooper and Thomas 2012,
