Country,island,Site Name,Material,Order,Species,synonym,Extinct,Direct Date of mammal,age,Sigma,Calibrated range 95%,Calibrated min,Calibrated max,Calibration Type,AMS,Archaeo or Palaeo,Reference,Notes,Lab,LAD
Cuba,Cuba,Dolina Central,rostrum Monophyllus redmani,Chiroptera,Artibeus anthonyi,N,Y,closely associated,8722,145,9503-10174,9503,10174,Intcal13,?,Paleo,Jimenez Vazquez et al. 2005,Date from an owl pellet and is listed here multiple times to cover all taxa found in pellet,not reported,Y
Cuba,Cuba,La Guira de Barajagua,not reported,Rodentia,Boromys offella,N,Y,N,589,69,517-665,517,665,Intcal13,N,Archaeo,Guarch Delmonte 1984,,not reported,Y
Cuba,Cuba,La Guira de Barajagua,not reported,Rodentia,Boromys torrei,N,Y,N,589,69,517-665,517,665,Intcal13,N,Archaeo,Guarch Delmonte 1984,,not reported,Y
Cuba,Cuba,Solapa de Silex,Megalocnus rodens (tooth),Rodentia,Brotomys sp.,Y,Y,N,4723,70,5319-5585,5319,5585,Intcal13,Y,Paleo,MacPhee et al. 2007,,Beta-206173,N
Cuba,Cuba,Dolina Central,rostrum Monophyllus redmani,Chiroptera,Desmodus puntajudensis,N,Y,closely associated,8722,145,9503-10174,9503,10174,Intcal13,?,Paleo,Jimenez Vazquez et al. 2005,Date from an owl pellet and is listed here multiple times to cover all taxa found in pellet,not reported,Y
Cuba,Cuba,La Guira de Barajagua,not reported,Rodentia,Geocapromys columbianus,N,Y,N,589,69,517-665,517,665,Intcal13,N,Archaeo,Guarch Delmonte 1984,,not reported,Y
Cuba,Cuba,Dolina Central,rostrum Monophyllus redmani,Rodentia,Geocapromys pleistocenicus,Y,Y,closely associated,8722,145,9503-10174,9503,10174,Intcal13,?,Paleo,Jimenez Vazquez et al. 2005,Date from an owl pellet and is listed here multiple times to cover all taxa found in pellet,not reported,Y
Cuba,Cuba,Solapa de Silex,Megalocnus rodens (tooth),Pilosa,Megalocnus rodens,N,Y,Y,4723,70,5319-5585,5319,5585,Intcal13,Y,Paleo,MacPhee et al. 2007,,Beta-206173,Y
Cuba,Cuba,Dolina Central,rostrum Monophyllus redmani,Rodentia,Mesocapromys sp. (mainland),Y,Y,closely associated,8722,145,9503-10174,9503,10174,Intcal13,?,Paleo,Jimenez Vazquez et al. 2005,Date from an owl pellet and is listed here multiple times to cover all taxa found in pellet,not reported,N
Cuba,Cuba,Dolina Central,rostrum Monophyllus redmani,Chiroptera,Mormoops magna,N,Y,closely associated,8722,145,9503-10174,9503,10174,Intcal13,?,Paleo,Jimenez Vazquez et al. 2005,Date from an owl pellet and is listed here multiple times to cover all taxa found in pellet,not reported,Y
Cuba,Cuba,Dolina Central,rostrum Monophyllus redmani,Chiroptera,Mormoops megalophylla,N,Y,closely associated,8722,145,9503-10174,9503,10174,Intcal13,?,Paleo,Jimenez Vazquez et al. 2005,Date from an owl pellet and is listed here multiple times to cover all taxa found in pellet,not reported,Y
Cuba,Cuba,Cueva Martin,Nesophontes micrus (skulls),Eulipotyphla,Nesophontes micrus,N,Y,Y,530,47,504-642,504,642,Intcal13,Y,Paleo,MacPhee et al. 1999,,Beta-115695,Y
Cuba,Cuba,Las Breas de San Felipe,Parocnus browni (skulls),Pilosa,Parocnus browni,N,Y,Y,5700,334,5754-7266,5754,7266,Intcal13,Y,Paleo,Jull et al. 2004,,AA35290,Y
Cuba,Cuba,Cueva El Abron,Tyto noeli,Chiroptera,Phyllops silvai,N,Y,N,21033,232,24715-25812,24715,25812,Intcal13,?,Paleo,Suarez & Diaz-Franco 2003,,not reported,N
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
